Nazwa,Energia (kj) 100g,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) 100g,Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) 100g,Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) 100g,Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) 100g,Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) 100g,Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) 100g,Błonnik (g) porcja,Białko (g) 100g,Białko (g) porcja,Białko (g) RI (%),Sól (g) 100g,Sól (g) porcja,Sól (g) RI (%)
McFlurry® M&M’s® o smaku waniliowym z polewą o smaku czekoladowym,922,1936,23,219,460,23,"7,1",15,21,"5,1",11,53,34,72,28,32,68,75,"1,0","2,1","4,0","8,4",17,"0,2","0,42",7
McFlurry® M&M’s® o smaku waniliowym z polewą karmelową,930,1977,24,221,469,23,"6,2",13,19,"4,0","8,4",42,38,80,31,30,63,70,"0,6","1,2","3,4","7,2",14,"0,18","0,38",6
McFlurry® M&M’s® o smaku waniliowym z polewą truskawkową,827,1726,21,196,410,20,"5,3",11,16,"3,4","7,1",35,33,70,27,30,62,69,"0,9","1,9","3,2","6,6",13,"0,12","0,26",4
McFlurry® M&M’s® truskawkowe,761,1307,16,181,310,16,"3,7","6,3",9,"2,2","3,7",19,33,57,22,30,52,58,1,"1,7","2,8","4,7",9,"0,11","0,18",3
McFlurry® M&M’s® truskawkowe z polewą o smaku czekoladowym,872,1829,22,207,434,22,"4,8",10,14,"3,5","7,3",37,37,77,30,34,71,79,"1,2","2,5","3,2","6,7",13,"0,17","0,35",6
McFlurry® M&M’s® truskawkowe z polewą karmelową,880,1870,22,209,443,22,"3,9","8,3",12,"2,4","5,1",25,40,85,33,32,67,74,"0,8","1,7","2,6","5,4",11,"0,14","0,31",5
McFlurry® M&M’s® truskawkowe z polewą truskawkową,776,1619,19,184,383,19,3,"6,3",9,"1,8","3,7",19,36,75,29,31,66,73,"1,1","2,3","2,3","4,9",10,"0,09","0,19",3
Shake o smaku czekoladowym mały,497,859,10,118,203,10,"2,3",4,6,"1,6","2,7",13,21,36,14,17,30,33,"0,4","0,7","3,2","5,5",11,"0,22","0,39",6
Shake o smaku czekoladowym duży,497,1375,16,118,326,16,"2,3","6,4",9,"1,6","4,3",21,21,57,22,17,48,53,"0,4","1,1","3,2","8,9",18,"0,22","0,62",10
Shake o smaku waniliowym mały,480,828,10,113,196,10,"2,1","3,7",5,"1,4","2,5",12,21,36,14,19,33,36,0,0,"2,9","5,1",10,"0,11","0,18",3
Shake o smaku waniliowym duży,480,1325,16,113,313,16,"2,1","5,9",8,"1,4","3,9",20,21,57,22,19,52,58,0,0,"2,9","8,1",16,"0,11","0,29",5
Shake o smaku truskawkowym mały,483,834,10,114,197,10,"2,1","3,7",5,"1,4","2,5",12,21,36,14,19,33,37,0,0,"2,9","5,1",10,"0,11","0,19",3
Shake o smaku truskawkowym duży,483,1335,16,114,316,16,"2,1","5,9",8,"1,4","3,9",20,21,58,22,19,54,59,0,0,"2,9","8,1",16,"0,11","0,30",5
Ciastko jabłkowe,1187,955,11,284,228,11,15,12,17,"3,5","2,8",14,34,28,11,11,"9,2",10,"1,9","1,5","2,9","2,3",5,"0,41","0,33",5
