,Nazwa,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) porcja,Białko (g) porcja,Białko (g) RI (%),Sól (g) porcja,Sól (g) RI (%)
50,Syrop karmelowy,136,2,32,2,0,0,0,0,8,3,5,6,0,0,0,0,0
51,Ciacho słony karmel,1449,17,346,17,17,24,"7,4",37,45,17,24,27,"0,5","3,1",6,"0,76",13
52,Ciacho z kawałkami czekolady,1552,18,372,19,19,27,"9,8",49,45,17,32,35,"2,2","4,0",8,"0,54",9
53,Ciacho owsiane,1364,16,326,16,16,23,"8,3",41,40,15,23,26,"3,0","4,6",9,"0,25",4
54,Croissant maślany,935,11,224,11,12,17,8,40,24,9,"3,5",4,"0,8","3,8",8,"0,59",10
55,Croissant z nadzieniem kakaowym,1625,19,390,19,24,34,11,53,36,14,12,13,"1,7","6,6",13,"0,62",10
56,Muffin z truskawkami i białą czekoladą,1388,17,331,17,16,23,"3,4",17,42,16,25,27,"1,1","3,6",7,"0,35",6
57,Muffin z czekoladą,1950,23,467,23,26,38,"5,0",25,52,20,30,33,"2,3","5,3",11,"1,13",19
58,Makaronik o smaku pistacjowym,370,4,88,4,"5,0",7,"1,2",6,"9,9",4,"9,2",10,"0,6","0,7",1,"0,02",0
59,Makaronik o smaku czekoladowym,355,4,88,4,"4,2",6,"1,4",7,11,4,"9,9",11,"0,5","1,7",3,"0,02",0
60,Makaronik o smaku malinowym,344,4,84,4,"2,9",4,0,0,13,5,12,13,"0,8","1,7",3,"0,02",0
